Hello there!,,,,,,,
"To make this easier on you and myself each weapon will be covered over two lines, the top line is the PvE perks, the bottom will be PvP. Hope that makes sense.",,,,,,,
"The way this works is all primary ammo weapons (white bricks) are first, then special ammo weapons (green bricks), then finally power weapons",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Note: perks are displayed in the order of importance,,,,,,,
Archetype,Type,Name,Elemental,Sights/Barrels,Magazine,Perk 1,Perk 2
Precision Frame,Auto Rifle,Breakneck,N,Polygonal Rifling,Extended Mag,Rampage,Onslaught
Lightweight Frame,Grenade Launcher,The Mountaintop,N,Volatile Launch,"Spike Grenades, Sticky Grenades",Rangefinder,Micro-Missle
High-Impact Frame,Fusion Rifle,Loaded Question,Y,Red Dot 2 MOA,Ionized Battery,Auto-Loading Holster,Reservoir Burst
,,,,,,,
Adaptive Frame,Auto Rifle,Galliard-42 XN7568,N,"SLO-12 Post, SLO-21 Post, SLO-10 Post, SPO-26 Front, SPO-57 Front","Extended Mag, Light Mag, High-Caliber Rounds, Ricochet Rounds","Outlaw, Quickdraw, Under Pressure, Grave Robber","Rampage, Kill Clip, High Impact Reserves"
,,,,"SLO-12 Post, SLO-21 Post, SLO-10 Post, SPO-26 Front, SPO-57 Front","Ricochet Rounds, High-Caliber Rounds","Tap the Trigger, Quickdraw, Outlaw","Rangefinder, Moving Target, Rampage, Kill Clip"
Precision Frame,Auto Rifle,The Ringing Nail,Y,"Rasmussen ISA, Meyrin RDS, Meyrin RDL","Appended Mag, Light Mag, High-Caliber Rounds, Extended Mag","Dragonfly, Zen Moment, Shield Disorient","Rampage, Kill Clip, High Impact Reserves"
,,,,"Rasmussen ISA, Meyrin RDS, Meyrin RDL","Ricochet Rounds, High-Caliber Rounds, Appended Mag","Zen Moment, Quickdraw","Tap the Trigger, Disruption Break, Kill Clip, Rampage"
,,,,,,,
Aggressive Frame,Hand Cannon,Bad News XF4354,N,Any,"Appended Mag, Tactical Mag, Alloy Mag, Flared Magwell","Outlaw, Triple Tap","Kill Clip, Explosive Rounds"
,,,,"SureShot HCS, Crossfire HCS, HitMark HCS",Accurized Rounds,"Rangefinder, Outlaw, Moving Target","Opening Shot, Explosive Rounds, Kill Clip"
Aggressive Frame,Hand Cannon,Crimil's Dagger,N,Any,"Appended Mag, Tactical Mag, Alloy Mag, Flared Magwell","Outlaw, Triple Tap","Kill Clip, Explosive Rounds"
,,,,"SureShot HCS, Crossfire HCS, HitMark HCS",Accurized Rounds,"Rangefinder, Outlaw, Moving Target","Opening Shot, Explosive Rounds, Kill Clip"
Adaptive Frame,Hand Cannon,Kindled Orchid,Y,Any,"Appended Mag, Tactical Mag, Alloy Mag, Flared Magwell","Outlaw, Kill Clip, Surrounded","Rapid Hit, Rampage, Explosive Rounds"
,,,,"Full Bore, Extended Barrel, Hammer-Forged Rifling, Smallbore",Accurized Rounds,"Rangefinder, Outlaw, Quickdraw, Kill Clip","Explosive Rounds, Rapid Hit, Rampage"
,,,,,,,
Lightweight Frame,Pulse Rifle,Nightshade,N,"Cleanshot IS, HitMark IS, Red Dot Micro","Tactical Mag, Extended Mag, Appended Mag, Flared Magwell","Outlaw, Ambitious Assassin","Rampage, Kill Clip, Full-Auto Trigger System"
,,,,"Cleanshot IS, HitMark IS, Red Dot Micro","Accurized Rounds, Tactical Mag, Steady Rounds","Outlaw, Rangefinder, Moving Target","Zen Moment, Kill Clip, Headseeker, Rampage"
Adaptive Frame,Pulse Rifle,Swift Ride XE8375,Y,"SLO-12 Post, SLO-10 Post, SLO-21 Post, SPO-57 Front","Tactical Mag, Extended Mag, Appended Mag, Flared Magwell","Outlaw, Ambitious Assassin","Rampage, Kill Clip, Full-Auto Trigger System"
,,,,"SLO-12 Post, SLO-10 Post, SLO-21 Post, SPO-57 Front","Accurized Rounds, Tactical Mag, Steady Rounds","Outlaw, Rangefinder, Moving Target","Zen Moment, Kill Clip, Headseeker, Rampage"
,,,,,,,
High-Impact Frame,Scout Rifle,Does Not Compute,N,"HitMark IS, Cleanshot IS, Red Dot Micro","Appended Mag, Tactical Mag, Alloy Mag, Flared Magwell","Triple Tap, High-Impact Reserves","Outlaw, Rampage, Kill Clip"
,,,,"HitMark IS, Cleanshot IS, Red Dot Micro","Steady Rounds, Tactical Mag, Flared Magwell","Zen Moment, Moving Target","Outlaw, Explosive Payload, Opening Shot, Kill Clip"
Precision Frame,Scout Rifle,No Feelings,Y,"Rasmussen ISA, Meyrin RDS, Meyrin RDL","Appended Mag, Tactical Mag, Alloy Mag, Flared Magwell","Outlaw, Rapid Hit, Triple Tap, Mulligan","Box Breathing, Rampage, Kill Clip, Explosive Rounds"
,,,,"Rasmussen ISA, Meyrin RDS, Meyrin RDL","Steady Rounds, Tactical Mag, Flared Magwell","Outlaw, Rapid Hit","Moving Target, Zen Moment, Explosive Rounds, Kill Clip"
Precision Frame,Scout Rifle,Tango-45 XK5094,Y,"SLO-12 Post, SLO-10 Post, SLO-21 Post, SPO-57 Front","Appended Mag, Tactical Mag, Alloy Mag, Flared Magwell","Triple Tap, High-Impact Reserves","Outlaw, Rampage, Dragonfly"
,,,,"SLO-12 Post, SLO-10 Post, SLO-21 Post, SPO-57 Front","Steady Rounds, Tactical Mag, Flared Magwell","Moving Target, Zen Moment","Outlaw, Explosive Rounds, Opening Shot"
,,,,,,,
SUROS Rapid-Fire,Sidearm,Dead Man Walking XX7463,Y,"ShortSpec SAS, Control SAS","Appended Mag, Tactical Mag, Extended Mag","Outlaw, Quickdraw","Kill Clip, Rampage, Grave Robber"
,,,,"FarPoint SAS, Target SAS, Tactic SAS (PC)","Accurized Rounds, Steady Rounds, Appended Mag","Outlaw, Quickdraw, Moving Target","Rangefinder, Zen Moment, Kill Clip, Opening Shot"
,,,,"Tactic SAS, ShortSpec SAS, Control SAS (Console)","Accurized Rounds, Steady Rounds, Appended Mag","Outlaw, Quickdraw, Moving Target","Rangefinder, Zen Moment, Kill Clip, Opening Shot"
,,,,,,,
Precision Frame,Submachine Gun,Atalanta-D XG1992,N,"SC Holo, GB Iron, GA Post","Appended Mag, Extended Mag, Light Mag","Zen Moment, Slideways","Kill Clip, High-Impact Reserves, Tap the Trigger"
,,,,SC Holo,"Ricochet Rounds, High-Caliber Rounds","Slideways, Moving Target, Zen Moment","Kill Clip, Tap the Trigger, Grave Robber"
Adaptive Frame,Submachine Gun,Hero's Burden,Y,Any,"High-Caliber Rounds, Appended Mag, Extended Mag, Alloy Mag","Slideways, Zen Moment","Kill Clip, High-Impact Reserves, Grave Robber"
,,,,,,,
,,,,"SPO-28 Front, SPO-57 Front","Ricochet Rounds, High-Caliber Rounds, Appended Mag","Zen Moment, Moving Target, Slideways","Kill Clip, Tap the Trigger, Threat Detector"
,,,,,,,
,,,,,,,
Precision Frame,Fusion Rifle,Tempered Dynamo,Y,"Rasmussen ISA, Meyrin RDS, Meyrin RDL","Liquid Coils, Enhanced Battery, Particle Repeater, Projection Fuse","Shield Disorient, Opening Shot","Rampage, High-Impact Reserves, Kill Clip"
,,,,"Rasmussen ISA, Meyrin RDS, Meyrin RDL","Liquid Coils, Projection Fuse, Particle Repeater, Enhanced battery","Opening Shot, Backup Plan","High-Impact Reserves, Rampage, Disruption Break, Kill Clip"
,,,,,,,
Aggressive Frame,Shotgun,Baligant XU773,N,"Rifled Barrel, Barrel Shroud, Corkscrew Rifling","Appended Mag, Tactical Mag, Assault Mag, Extended Mag","Full-Auto Trigger System, Slideshot, Threat Detector","Rampage, Outlaw, Auto-Loading Holster"
,,,,"Full Choke, Rifled Barrel",Accurized Rounds,Slideshot,"Rampage, Moving Target, Snapshot"
Rapid-Fire Frame,Shotgun,Threat Level,N,"Rifled Barrel, Barrel Shroud, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Trench Barrel, Surrounded, Rampage, Slideshot","Quickdraw, Grave Robber, Threat Detector"
,,,,"Full Choke, Rifled Barrel",Accurized Rounds,"Rampage, Moving Target, Slideshot","Quickdraw, Snapshot Sights, Grave Robber"
Rapid-Fire Frame,Shotgun,Wishbringer,Y,"Rifled Barrel, Barrel Shroud, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Slideshot, Threat Detector","Rampage, Auto-Loading Holster"
,,,,"Full Choke, Rifled Barrel",Accurized Rounds,Slideshot,"Opening Shot, Rampage, Snapshot"
,,,,,,,
Aggressive Frame,Sniper Rifle,Show of Force XF4865,N,"ATC Rex, ATA Scout, ATA Raptor","Appended Mag, Tactical Mag, Extended Mag, Flared Magwell","Rapid Hit, Mulligan, Firmly Planted","Triple Tap, Rampage, Outlaw"
,,,,"ATC Rex, ATA Scout, ATA Raptor","Steady Rounds, Tactical Mag, Flared Magwell","Snapshot Sights, Firmly Planted","Outlaw, Moving Target, Rampage"
Rapid-Fire Frame,Sniper Rifle,Persuader,Y,50Val Telescopic,"Appended Mag, Tactical Mag, Extended Mag, Flared Magwell","Rapid Hit, Field Prep","Triple Tap, Outlaw"
,,,,50Val Telescopic,"Steady Rounds, Accurized Rounds Tactical Mag, Flared Magwell","Snapshot Sights, Firmly Planted","Outlaw, Moving Target"
Aggressive Frame,Sniper Rifle,Tatara Gaze,N,"Arrowhead Brake, Fluted Barrel, Polygonal Rifling","Appended Mag, Tactical Mag, Extended Mag, Flared Magwell","Outlaw, Rapid Hit","Rampage, Kill Clip, Box Breathing, Dragonfly"
,,,,"Fluted Barrel, Arrowhead Brake, Polygonal Rifling","Steady Rounds, Tactical Mag, Flared Magwell","Quickdraw, Snapshot Sights","Opening Shot, Kill Clip, Box Breathing"
,,,,,,,
,,,,,,,
Aggressive Frame,Grenade Launcher,Acantha-D XK8434,Y,"Volatile Launch, Linear Compensator, Confined Launch","Spike Grenades, High-Explosive Ordnance, Proximity Grenades","Field Prep, Auto-Loading Holster, Threat Detector",Rampage
