Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Wing Theorem,3724026171,"""6917529086132205536""",,Legendary,Helmet,crucible,Warlock,641,Arc Damage Resistance,3,Warlock(659),false,false,2,4,,N/A,N/A,1,1,1,,Mobile Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 3 Armor*,Crucible Legacy*,Hands-On,Scatter Projectile Targeting*,Shotgun Reserves,Machine Gun Reserves*,,
Vigil of Heroes,3213912958,"""6917529085142503250""",,Legendary,Helmet,strikes,Warlock,617,Solar Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,0,2,1,,Restorative Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Vanguard Veteran*,Fusion Rifle Targeting*,Ashes to Assets,Fusion Rifle Reserves*,Grenade Launcher Reserves,,
Crown of Tempests,2523259395,"""6917529082672682671""",,Exotic,Helmet,,Warlock,600,,,Warlock(659),false,false,1,1,,5,4,2,1,0,,Conduction Tines*,Mobility Enhancement Mod*,Restorative Mod,Shotgun Targeting,Submachine Gun Targeting*,Light Reactor,Fusion Rifle Reserves,Special Ammo Finder*,,,
Ancient Apocalypse Hood,1236746902,"""6917529085486437541""",,Legendary,Helmet,gambit,Warlock,628,Arc Damage Resistance,2,Warlock(659),false,false,2,4,,N/A,N/A,0,2,1,,Restorative Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Gambit Leather*,Hands-On,Precision Weapon Targeting*,Rocket Launcher Reserves,Machine Gun Reserves*,,
Wing Theorem,3724026171,"""6917529086197379172""",,Legendary,Helmet,crucible,Warlock,623,Void Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,1,1,1,,Mobile Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Remote Connection*,Machine Gun Targeting,Special Ammo Finder*,Heavy Ammo Finder,,
Scatterhorn Hood,2411325265,"""6917529085171424486""",,Legendary,Helmet,tangled,Warlock,622,Solar Damage Resistance,3,Warlock(659),false,false,2,4,,1,1,0,2,1,,Restorative Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 3 Armor*,Tangled Rust*,Pulse Rifle Targeting*,Scout Rifle Targeting,Rocket Launcher Reserves*,Sword Reserves,,
Apotheosis Veil,3897389303,"""6917529085145689617""",,Exotic,Helmet,,Warlock,620,,,Warlock(659),false,false,1,3,,1,2,1,1,1,,Insatiable*,Mobility Enhancement Mod*,Restorative Mod,Frumious Blue*,Ashes to Assets,Power Weapon Targeting*,Scatter Projectile Targeting,Linear Fusion Rifle Reserves*,Sniper Rifle Reserves,,
Vigil of Heroes,3213912958,"""6917529097041852090""",,Legendary,Helmet,strikes,Warlock,693,Arc Damage Resistance,2,Warlock(659),false,false,2,4,,N/A,N/A,1,2,1,,Mobile Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Recovery Mod*,Tier 2 Armor*,Vanguard Veteran*,Pulse Rifle Targeting*,Power Weapon Targeting,Rocket Launcher Reserves*,Sword Reserves,
Nezarec's Sin,2523259393,"""6917529081225874182""",,Exotic,Helmet,,Warlock,593,,,Warlock(659),false,false,1,1,,5,6,1,2,1,,Noble Constant Red*,Abyssal Extractors*,Mobility Enhancement Mod*,Restorative Mod,Recovery Mod*,Sidearm Targeting*,Special Ammo Finder*,,,,
Ancient Apocalypse Gloves,2440840551,"""6917529085534864788""",,Legendary,Gauntlets,gambit,Warlock,629,Void Damage Resistance,3,Warlock(659),false,false,2,4,,N/A,N/A,0,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Tier 3 Armor*,Gambit Leather*,Kinetic Weapon Loader,Machine Gun Loader*,Grenade Launcher Scavenger*,Sword Scavenger,,
Prophet Snow,2190967049,"""6917529097032310864""",,Rare,Gauntlets,,Warlock,665,,,Warlock(659),false,false,2,4,,N/A,N/A,0,2,0,,Restorative Warlock Armor*,Metallic Sunrise*,Fastball*,,,,,,,,
Ancient Apocalypse Gloves,2440840551,"""6917529097011969177""",,Legendary,Gauntlets,gambit,Warlock,688,Arc Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Gambit Leather*,Hand Cannon Loader*,Impact Induction,Sniper Rifle Scavenger*,Machine Gun Scavenger,,
Tangled Web Gloves,2502004600,"""6917529086203346214""",,Legendary,Gauntlets,,Warlock,646,Arc Damage Resistance,3,Warlock(659),false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Auto Rifle Loader*,Large Weapon Loader,Shotgun Scavenger*,Sniper Rifle Scavenger,,,
Claws of Ahamkara,2970800254,"""6917529080348883538""",,Exotic,Gauntlets,,Warlock,544,,,Warlock(659),false,false,1,3,,5,2,1,2,0,,The Whispers*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Fusion Rifle Loader*,Hand Cannon Loader,Impact Induction,Shotgun Scavenger*,Heavy Ammo Finder,,,
Tangled Web Gloves,2502004600,"""6917529086280455088""",,Legendary,Gauntlets,,Warlock,628,Solar Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Auto Rifle Loader*,Fastball,Special Ammo Finder*,Heavy Ammo Finder,,,
Prodigal Gloves,2475888361,"""6917529086215316314""",,Legendary,Gauntlets,,Warlock,629,Arc Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Impact Induction*,Momentum Transfer,Fusion Rifle Scavenger*,Machine Gun Scavenger,,,
Tangled Web Gloves,2502004600,"""6917529086215315644""",,Legendary,Gauntlets,,Warlock,649,Void Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Bow Reloader,Pulse Rifle Loader*,Fusion Rifle Scavenger,Sword Scavenger*,,,
Contraverse Hold,2389062558,"""6917529082004287218""",,Exotic,Gauntlets,,Warlock,600,,,Warlock(659),false,false,2,4,,5,6,0,2,1,,Chaotic Exchanger*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Grenade Launcher Loader,Submachine Gun Loader,Momentum Transfer*,Shotgun Scavenger*,Sword Scavenger,,,
Vigil of Heroes,3569624585,"""6917529085233831706""",,Legendary,Chest Armor,strikes,Warlock,623,Arc Damage Resistance,3,Warlock(659),false,false,2,4,,N/A,N/A,0,2,2,,Restorative Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 3 Armor*,Vanguard Veteran*,Unflinching Shotgun Aim*,Unflinching Sniper Aim,Pulse Rifle Reserves*,Scout Rifle Reserves,,
Tangled Web Robes,1034149520,"""6917529086194298490""",,Legendary,Chest Armor,,Warlock,643,Void Damage Resistance,2,Warlock(659),false,false,2,4,,N/A,N/A,1,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Paragon Mod*,Tier 2 Armor*,Unflinching Pulse Rifle Aim,Unflinching Light Arms Aim*,Pulse Rifle Reserves,Primary Ammo Finder*,,
Wing Theorem,997903134,"""6917529097009677536""",,Legendary,Chest Armor,crucible,Warlock,702,Solar Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,2,1,1,,Mobile Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Unflinching Bow Aim*,Unflinching Large Arms,Scout Rifle Reserves*,Primary Ammo Finder,,
Wing Theorem,997903134,"""6917529085784296793""",,Legendary,Chest Armor,crucible,Warlock,635,Void Damage Resistance,1,Warlock(659),false,false,2,4,,N/A,N/A,2,1,1,,Mobile Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Unflinching Submachine Gun Aim,Unflinching Large Arms*,Auto Rifle Reserves,Bow Reserves*,,
Ancient Apocalypse Robes,4188366993,"""6917529086277778827""",,Legendary,Chest Armor,gambit,Warlock,647,Arc Damage Resistance,3,Warlock(659),false,false,2,4,,N/A,N/A,0,2,2,,Restorative Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 3 Armor*,Gambit Leather*,Unflinching Grenade Launcher Aim*,Unflinching Light Arms Aim,Hand Cannon Reserves*,Sidearm Reserves,,
Sanguine Alchemy,2422973183,"""6917529086280456584""",,Exotic,Chest Armor,,Warlock,650,,,Warlock(659),false,false,1,3,,N/A,N/A,1,2,1,,Heightened Senses*,Mobility Enhancement Mod*,Restorative Mod,Unflinching Shotgun Aim*,Unflinching Submachine Gun Aim,Enhanced Unflinching Sniper Aim,Bow Reserves,Pulse Rifle Reserves*,,,
Vesper of Radius,1799380614,"""6917529097608214922""",,Exotic,Chest Armor,,Warlock,701,,,Warlock(659),false,false,1,2,,1,1,0,1,3,,Planetary Torrent*,Plasteel Reinforcement Mod*,Restorative Mod,Unflinching Scout Rifle Aim*,Unflinching Sniper Aim,Unflinching Power Aim,Auto Rifle Reserves*,Sidearm Reserves,,,
Tangled Web Boots,537272242,"""6917529084024483184""",,Legendary,Leg Armor,,Warlock,608,Void Damage Resistance,2,Warlock(659),false,false,2,4,,N/A,N/A,0,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Tier 2 Armor*,Frumious Blue*,Grenade Launcher Dexterity,Linear Fusion Dexterity*,Auto Rifle Scavenger*,Submachine Gun Scavenger,,
